Dependency metrics,quinta, 2 dez 2021 12:06:03 WET
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*,PDcy,PDpt
"org.jabref.cli.ArgumentProcessor",784,59,1 333,2,1 121,25,2
"org.jabref.cli.ArgumentProcessor.Mode",0,0,0,3,1 122,0,3
"org.jabref.cli.AuxCommandLine",784,6,1 333,2,1 121,4,1
"org.jabref.cli.CrossrefFetcherEvaluator",0,11,1 334,0,0,9,0
"org.jabref.cli.GenerateCharacterTable",0,1,1,0,0,1,0
"org.jabref.cli.JabRefCLI",784,5,1 333,3,1 121,5,2
"org.jabref.cli.SystemOutputPrinter",0,1,1,1,1 122,1,1
"org.jabref.gui.AbstractViewModel",0,0,0,21,1 123,0,19
"org.jabref.gui.BasePanelMode",0,0,0,1,1 122,0,1
"org.jabref.gui.ClipBoardManager",784,20,1 333,21,1 121,10,11
"org.jabref.gui.DefaultInjector",784,13,1 333,2,1 121,8,1
"org.jabref.gui.DragAndDropDataFormats",784,1,1 333,8,1 121,1,7
"org.jabref.gui.DragAndDropHelper",784,1,1 333,1,1 121,1,1
"org.jabref.gui.EntryTypeView",784,24,1 333,3,1 121,9,2
"org.jabref.gui.EntryTypeViewModel",784,24,1 333,2,1 121,13,1
"org.jabref.gui.EntryTypeViewModel.FetcherWorker",784,4,1 333,1,1 121,3,1
"org.jabref.gui.FXDialog",784,4,1 333,2,1 121,3,2
"org.jabref.gui.FallbackExceptionHandler",784,4,1 333,2,1 121,2,1
"org.jabref.gui.Globals",784,20,1 333,104,1 121,14,56
"org.jabref.gui.JabRefDialogService",784,12,1 333,3,1 121,5,2
"org.jabref.gui.JabRefExecutorService",784,2,1 333,13,1 121,1,10
"org.jabref.gui.JabRefExecutorService.NamedRunnable",0,0,0,1,1 122,0,1
"org.jabref.gui.JabRefFrame",784,115,1 333,69,1 121,52,29
"org.jabref.gui.JabRefFrame.CloseAction",784,2,1 333,1,1 121,2,1
"org.jabref.gui.JabRefFrame.CloseAllDatabaseAction",784,3,1 333,1,1 121,2,1
"org.jabref.gui.JabRefFrame.CloseDatabaseAction",784,3,1 333,1,1 121,2,1
"org.jabref.gui.JabRefFrame.CloseOthersDatabaseAction",784,4,1 333,1,1 121,2,1
"org.jabref.gui.JabRefFrame.OpenDatabaseFolder",784,4,1 333,1,1 121,4,1
"org.jabref.gui.JabRefFrame.UndoRedoEventManager",784,5,1 333,1,1 121,2,1
"org.jabref.gui.JabRefGUI",784,23,1 333,14,1 121,16,10
"org.jabref.gui.JabRefLauncher",0,1,1 339,0,0,1,0
"org.jabref.gui.JabRefMain",0,26,1 338,2,2,16,2
"org.jabref.gui.LibraryTab",784,55,1 333,70,1 121,29,28
"org.jabref.gui.LibraryTab.EntriesRemovedListener",784,3,1 333,1,1 121,3,1
"org.jabref.gui.LibraryTab.Factory",784,9,1 333,1,1 121,6,1
"org.jabref.gui.LibraryTab.GroupTreeListener",784,8,1 333,1,1 121,6,1
"org.jabref.gui.LibraryTab.IndexUpdateListener",784,13,1 333,1,1 121,8,1
"org.jabref.gui.LibraryTab.SearchListener",784,7,1 333,1,1 121,5,1
"org.jabref.gui.OpenConsoleAction",784,6,1 333,1,1 121,5,1
"org.jabref.gui.SendAsEMailAction",784,17,1 333,2,1 121,12,2
"org.jabref.gui.StateManager",784,8,1 333,125,1 121,6,43
"org.jabref.gui.UpdateTimestampListener",784,7,1 333,2,1 121,5,1
"org.jabref.gui.WaitForSaveFinishedDialog",784,3,1 333,1,1 121,2,1
"org.jabref.gui.actions.ActionFactory",784,7,1 333,25,1 121,4,22
"org.jabref.gui.actions.ActionHelper",784,9,1 333,49,1 121,8,30
"org.jabref.gui.actions.JabRefAction",784,7,1 333,1,1 121,4,1
"org.jabref.gui.actions.SimpleCommand",0,1,5,81,1 122,1,41
"org.jabref.gui.actions.Sources",0,0,0,2,1 122,0,1
"org.jabref.gui.actions.StandardActions",0,6,16,37,1 127,4,25
"org.jabref.gui.autocompleter.AppendPersonNamesStrategy",0,1,3,3,1 123,1,3
"org.jabref.gui.autocompleter.AppendWordsStrategy",0,2,2,2,1 124,1,2
"org.jabref.gui.autocompleter.AutoCompleteFirstNameMode",0,0,0,7,1 125,0,4
"org.jabref.gui.autocompleter.AutoCompletePreferences",0,5,20,11,1 124,3,6
"org.jabref.gui.autocompleter.AutoCompletePreferences.NameFormat",0,0,0,6,1 125,0,3
"org.jabref.gui.autocompleter.AutoCompletionInput",0,0,0,4,1 127,0,1
